[19:03:32] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x34 | FRAME: AA 01 34 9F
[19:03:33] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x35 | FRAME: AA 02 35 9D
[19:03:34] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x36 | FRAME: AA 03 36 9F
[19:03:35] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x37 | FRAME: AA 01 37 9C
[19:03:36] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x38 | FRAME: AA 02 38 90
[19:03:37] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x39 | FRAME: AA 03 39 90
[19:03:38] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x3A | FRAME: AA 01 3A 91
[19:03:39] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3B | FRAME: AA 02 3B 93
[19:03:40] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x3C | FRAME: AA 03 3C 95
[19:03:41] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x3D | FRAME: AA 01 3D 96
[19:03:42] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3E | FRAME: AA 02 3E 96
[19:03:43] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x3F | FRAME: AA 03 3F 96
[19:03:44] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x40 | FRAME: AA 01 40 EB
[19:03:45] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x41 | FRAME: AA 02 41 E9
[19:03:46] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x42 | FRAME: AA 03 42 EB
[19:03:47] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x43 | FRAME: AA 01 43 E8
[19:03:48] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x44 | FRAME: AA 02 44 EC
[19:03:49] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x45 | FRAME: AA 03 45 EC
[19:03:50] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x46 | FRAME: AA 01 46 ED
[19:03:51] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x47 | FRAME: AA 02 47 EF
[19:03:52] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x48 | FRAME: AA 03 48 E1
[19:03:53] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x49 | FRAME: AA 01 49 E2
[19:03:54] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x4A | FRAME: AA 02 4A E2
[19:03:55] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x4B | FRAME: AA 03 4B E2
[19:06:07] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x10 | FRAME: AA 01 10 BB
[19:06:08] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x11 | FRAME: AA 02 11 B9
[19:06:09] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x12 | FRAME: AA 03 12 BB
[19:06:10] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x13 | FRAME: AA 01 13 B8
[19:06:11] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x14 | FRAME: AA 02 14 BC
[19:06:12] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x15 | FRAME: AA 03 15 BC
[19:06:13] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x16 | FRAME: AA 01 16 BD
[19:06:21] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x1E | FRAME: AA 03 1E B7
[19:06:22] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x1F | FRAME: AA 01 1F B4
[19:06:23] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x20 | FRAME: AA 02 20 88
[19:06:24] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x21 | FRAME: AA 03 21 88
[19:06:25] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x22 | FRAME: AA 01 22 89
[19:06:26] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x23 | FRAME: AA 02 23 8B
[19:06:27] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x24 | FRAME: AA 03 24 8D
[19:06:28] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x25 | FRAME: AA 01 25 8E
[19:06:29] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x26 | FRAME: AA 02 26 8E
[19:06:30] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x27 | FRAME: AA 03 27 8E
[19:06:31] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x28 | FRAME: AA 01 28 83
[19:06:32] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[19:06:33] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2A | FRAME: AA 03 2A 83
[19:06:34] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2B | FRAME: AA 01 2B 80
[19:06:35] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[19:06:36] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2D | FRAME: AA 03 2D 84
[19:06:37] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2E | FRAME: AA 01 2E 85
[19:06:38] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[19:06:39] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x30 | FRAME: AA 03 30 99
[19:06:40] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x31 | FRAME: AA 01 31 9A
[19:06:41] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[19:06:42] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x33 | FRAME: AA 03 33 9A
[19:07:28] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x1B | FRAME: AA 03 1B B2
[19:07:29] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x1C | FRAME: AA 01 1C B7
[19:07:30] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x1D | FRAME: AA 02 1D B5
[19:07:31] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x1E | FRAME: AA 03 1E B7
[19:07:32] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x1F | FRAME: AA 01 1F B4
[19:07:33] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x20 | FRAME: AA 02 20 88
[19:07:34] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x21 | FRAME: AA 03 21 88
[19:07:35] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x22 | FRAME: AA 01 22 89
[19:07:36] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x23 | FRAME: AA 02 23 8B
[19:07:37] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x24 | FRAME: AA 03 24 8D
[19:07:38] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x25 | FRAME: AA 01 25 8E
[19:07:39] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x26 | FRAME: AA 02 26 8E
[19:07:40] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x27 | FRAME: AA 03 27 8E
[19:07:41] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x28 | FRAME: AA 01 28 83
[19:07:42] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[19:07:43] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2A | FRAME: AA 03 2A 83
[19:07:44] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2B | FRAME: AA 01 2B 80
[19:07:45] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[19:07:46] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x2D | FRAME: AA 03 2D 84
[19:07:47] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x2E | FRAME: AA 01 2E 85
[19:07:48] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[19:07:49] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x30 | FRAME: AA 03 30 99
[19:07:50] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x31 | FRAME: AA 01 31 9A
[19:07:52] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
[19:07:53] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x33 | FRAME: AA 03 33 9A
[19:07:54] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x34 | FRAME: AA 01 34 9F
[19:07:55] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x35 | FRAME: AA 02 35 9D
[19:07:56] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x36 | FRAME: AA 03 36 9F
[19:07:57] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x37 | FRAME: AA 01 37 9C
[19:07:58] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x38 | FRAME: AA 02 38 90
[19:07:59] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x39 | FRAME: AA 03 39 90
[19:08:00] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x3A | FRAME: AA 01 3A 91
[19:08:01] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3B | FRAME: AA 02 3B 93
[19:08:02] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x3C | FRAME: AA 03 3C 95
[19:08:03] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x3D | FRAME: AA 01 3D 96
[19:08:04] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x3E | FRAME: AA 02 3E 96
[19:08:05] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x3F | FRAME: AA 03 3F 96
[19:08:06] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x40 | FRAME: AA 01 40 EB
[19:08:07] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x41 | FRAME: AA 02 41 E9
[19:08:08] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x42 | FRAME: AA 03 42 EB
[19:08:09] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x43 | FRAME: AA 01 43 E8
[19:08:10] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x44 | FRAME: AA 02 44 EC
[19:08:11] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x45 | FRAME: AA 03 45 EC
[19:08:12] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x46 | FRAME: AA 01 46 ED
[19:08:13] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x47 | FRAME: AA 02 47 EF
[19:08:14] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x48 | FRAME: AA 03 48 E1
[19:08:15] MATCH -> TYPE: 0x01 (TEMPERATURA) | DATA: 0x49 | FRAME: AA 01 49 E2
[19:08:16] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x4A | FRAME: AA 02 4A E2
[19:08:17] MATCH -> TYPE: 0x03 (PRESION) | DATA: 0x4B | FRAME: AA 03 4B E2
[19:11:17] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x23 | FRAME: AA 02 23 8B
[19:11:20] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x26 | FRAME: AA 02 26 8E
[19:11:23] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x29 | FRAME: AA 02 29 81
[19:11:26] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2C | FRAME: AA 02 2C 84
[19:11:29] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x2F | FRAME: AA 02 2F 87
[19:11:32] MATCH -> TYPE: 0x02 (VELOCIDAD) | DATA: 0x32 | FRAME: AA 02 32 9A
